    "\textsc{DynamicCache}"  Baseline-1  Baseline-5
16	1239.483	1287.83	1220.306
32	1658.483	1720.35	1616.136
64	3748.383	4109.98	4125.968
128	7182.834	7889.89	7314.291
256	12938.499	14163.949	21243.012
